sku,instanceType,vcpu,memory,storage,operatingSystem,marketoption,regionCode
N/A,m7i.metal-48xl,192,768 GiB,EBS only,Linux,OnDemand,ap-southeast-5
N/A,c6in.4xlarge,16,32 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,x2iedn.32xlarge,128,4096 GiB,2 x 1900 NVMe SSD,RHEL,OnDemand,ap-southeast-5
N/A,x2iedn.4xlarge,16,512 GiB,1 x 475 NVMe SSD,RHEL,OnDemand,ap-southeast-5
N/A,c7i.large,2,4 GiB,EBS only,Linux,OnDemand,ap-southeast-5
N/A,r6id.12xlarge,48,384 GiB,2 x 1425 NVMe SSD,Windows,OnDemand,ap-southeast-5
N/A,c6id.24xlarge,96,192 GiB,4 x 1425 NVMe SSD,SUSE,OnDemand,ap-southeast-5
N/A,r6i.large,2,16 GiB,EBS only,Windows,OnDemand,ap-southeast-5
N/A,m6id.32xlarge,128,512 GiB,4 x 1900 NVMe SSD,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,m6g.8xlarge,32,128 GiB,EBS only,Ubuntu Pro,OnDemand,ap-southeast-5
N/A,r7i.24xlarge,96,768 GiB,EBS only,SUSE,OnDemand,ap-southeast-5
N/A,i4i.32xlarge,128,1024 GiB,8 x 3750 SSD,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,i4i.12xlarge,48,384 GiB,3 x 3750 NVMe SSD,Linux,OnDemand,ap-southeast-5
N/A,m6id.16xlarge,64,256 GiB,2 x 1900 NVMe SSD,Windows,OnDemand,ap-southeast-5
N/A,m6id.metal,128,512 GiB,4 x 1900 NVMe SSD,Linux,OnDemand,ap-southeast-5
N/A,i4i.xlarge,4,32 GiB,1 x 937 NVMe SSD,Windows,OnDemand,ap-southeast-5
N/A,m6id.large,2,8 GiB,1 x 118 NVMe SSD,Ubuntu Pro,OnDemand,ap-southeast-5
N/A,i3en.large,2,16 GiB,1 x 1250 NVMe SSD,Linux,OnDemand,ap-southeast-5
N/A,r6i.32xlarge,128,1024 GiB,EBS only,Linux,OnDemand,ap-southeast-5
N/A,g6.8xlarge,32,128 GiB,2 x 450 GB NVMe SSD,Ubuntu Pro,OnDemand,ap-southeast-5
N/A,m7i.metal-24xl,96,384 GiB,EBS only,SUSE,OnDemand,ap-southeast-5
N/A,c6g.medium,1,2 GiB,EBS only,SUSE,OnDemand,ap-southeast-5
N/A,c6id.32xlarge,128,256 GiB,4 x 1900 NVMe SSD,SUSE,OnDemand,ap-southeast-5
N/A,r6i.large,2,16 GiB,EBS only,Linux,OnDemand,ap-southeast-5
N/A,c6i.32xlarge,128,256 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,c7i-flex.4xlarge,16,32 GiB,EBS only,RHEL,OnDemand,ap-southeast-5
N/A,c6id.xlarge,4,8 GiB,1 x 237 NVMe SSD,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,i3en.xlarge,4,32 GiB,1 x 2500 NVMe SSD,Windows,OnDemand,ap-southeast-5
N/A,r6i.8xlarge,32,256 GiB,EBS only,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,c7i.2xlarge,8,16 GiB,EBS only,Windows,OnDemand,ap-southeast-5
N/A,r6i.12xlarge,48,384 GiB,EBS only,Windows,OnDemand,ap-southeast-5
N/A,i3en.24xlarge,96,768 GiB,8 x 7500 NVMe SSD,Red Hat Enterprise Linux with HA,OnDemand,ap-southeast-5
N/A,i3en.metal,96,768 GiB,8 x 7500 NVMe SSD,Windows,OnDemand,ap-southeast-5
N/A,r6i.2xlarge,8,64 GiB,EBS only,Windows,OnDemand,ap-southeast-5
N/A,g6.24xlarge,96,384 GiB,4 X 940 GB NVMe SSD,Ubuntu Pro,OnDemand,ap-southeast-5
N/A,c6i.metal,128,256 GiB,EBS only,Ubuntu Pro,OnDemand,ap-southeast-5
N/A,c6id.32xlarge,128,256 GiB,4 x 1900 NVMe SSD,Linux,OnDemand,ap-southeast-5
N/A,r7gd.4xlarge,16,128 GiB,1 x 950 NVMe SSD,RHEL,OnDemand,ap-southeast-5
N/A,m6g.metal,64,256 GiB,EBS only,Ubuntu Pro,OnDemand,ap-southeast-5
